WKT,fid,OBJECTID,OBJECT_ID,Z,PIPENO,ORIGIONALC,PRESSURED,PRESSURER,ECODE,NAME,ADDRESS,TYPE,FORM,MODEL,SCALEDESIG,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,GENERALMAP,SYSTEMMAP,SKETCHMAP,SCALEOPERA,SYMBALTYPE,SYMBOLANGL,SYMBOLSCAL,ORIGIONALD,INNERCODE,OWNER,DATASOURCE,LEVELFROM,ENABLED,USERNUM,MANAGEREGION,REGION,UPDATETIME,YEAR,MAPNAME,SURVEYCODEOLD,PRESSORDERD,MANAGEREGIONCODE
"MULTIPOINT ((116.492747590895 39.7598760089647))","11790","11790",,0,"01220120504900002001","22120504900000",中压A 0.2<P<=0.4MPa,中压A 0.2<P<=0.4MPa,N54R333,亦庄76地块中压A2箱,N54R333,中低压调压箱,,,,,,10-1156-L,"201205049",,,,,,87.78,,"20160317144554",,,,,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,,"23322",,,
"MULTIPOINT ((116.492721215366 39.7598835036806))","11791","11791",,0,"01220120504900001001","22120504900001",中压A 0.2<P<=0.4MPa,中压A 0.2<P<=0.4MPa,N54R332,亦庄76地块中压A1箱,N54R332,中低压调压箱,,,,,,10-1156-L,"201205049",,,,,,177.37,,"20160317144554",,,,,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,,"23322",,,
