WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.49678054399 39.7591580511542,116.496780753009 39.7590552290108))","2146125",2146996,,"00720120504901304001","04120504901724",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,11.415,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,11.4150599639053
"MULTILINESTRING ((116.496834927138 39.7590550021115,116.496837892603 39.7591581262223))","2146124",2146995,,"00720120504901305001","04120504901721",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,11.452,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,11.452431880748
"MULTILINESTRING ((116.493924067339 39.7593721720684,116.493925696277 39.7593121750063))","2270436",2271342,,"00720120504900281001","04120504902402",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,6.662,,29.3,29.31,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,6.6617115669973
"MULTILINESTRING ((116.497163076088 39.7589838631536,116.497170195443 39.7591585348746))","2274784",2275691,,"00720120504901354001","04120504902474",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,19.404,,0,28.39,,,,10-1156-L,"201205049",,"20161118093636",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23323",,,,19.4036704016276
"MULTILINESTRING ((116.496990384193 39.7591583159666,116.496990719169 39.7590547456674))","2276457",2277365,,"00720120504901349001","04120504901715",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,11.498,,0,0,,,,10-1156-L,"201205049",,"20161118093636",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23323",,,,11.498100190575
"MULTILINESTRING ((116.496935370096 39.7590545812957,116.496935814149 39.7591582474133))","2276458",2277366,,"00720120504901348001","04120504901718",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,11.509,,0,0,,,,10-1156-L,"201205049",,"20161118093636",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23323",,,,11.5090156829791
"MULTILINESTRING ((116.492138643998 39.7593378775663,116.492228367968 39.7593349602448))","2268021",2268926,,"00720120504900031001","04120504902500",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,7.723,,29.1,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,7.72318671308606
"MULTILINESTRING ((116.492160454927 39.7592432357606,116.49216045962 39.7592454876305))","2268281",2269186,,"00720120504900032001","04120504901888",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.492201610828 39.759243066879,116.492201615523 39.7592453187489))","2268511",2269416,,"00720120504900037001","04120504901891",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.492201615523 39.7592453187489,116.492225169898 39.7592453121546))","2268510",2269415,,"00720120504900038001","04120504901892",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.026,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.0260246795558
"MULTILINESTRING ((116.492225169898 39.7592453121546,116.492228367968 39.7593349602448))","2265597",2266500,,"00720120504900039001","04120504901893",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,9.957,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,9.95736898156842
"MULTILINESTRING ((116.492228367968 39.7593349602448,116.492449399101 39.7593277832893))","2265596",2266499,,"00720120504900040001","04120504902501",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,19.026,,0,28.82,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,19.0257348086964
"MULTILINESTRING ((116.492358569702 39.758984716266,116.492358683734 39.758989219577))","1305539",1306005,,"00720120504900711001","04120504902486",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.5,,28.82,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.50008099343309
"MULTILINESTRING ((116.492358683734 39.758989219577,116.492363181003 39.7591219635047))","1305540",1306006,,"00720120504900712001","04120504902487",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,14.743,,0,29,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,14.7434694017955
"MULTILINESTRING ((116.492358683734 39.758989219577,116.492386167335 39.7589891066931))","1305819",1306285,,"00720120504900713001","04120504901837",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.364,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.36400000005961
"MULTILINESTRING ((116.492363181003 39.7591219635047,116.492445955952 39.7591209028635))","1305545",1306011,,"00720120504900714001","04120504902488",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,7.12,,29,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,7.12044942413071
"MULTILINESTRING ((116.492445955952 39.7591209028635,116.492446016284 39.7591163898292))","1312706",1313174,,"00720120504900722001","04120504902489",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,0.501,,0,28.84,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.501035927020075
"MULTILINESTRING ((116.492445955952 39.7591209028635,116.492446089628 39.7591292433125))","1312707",1313175,,"00720120504900723001","04120504902490",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,0.926,,0,28.83,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.926053995022736
"MULTILINESTRING ((116.492446089628 39.7591292433125,116.492449399101 39.7593277832893))","2146135",2147006,,"00720120504900724001","04120504902309",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,22.044,,28.83,28.84,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,22.0444063195674
"MULTILINESTRING ((116.492446089628 39.7591292433125,116.492533840715 39.7591283242154))","1312708",1313176,,"00720120504900725001","04120504902485",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,7.548,,28.82,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,7.5482546321878
"MULTILINESTRING ((116.492493721091 39.7590512042671,116.492493725794 39.7590534561373))","1305849",1306315,,"00720120504900727001","04120504901824",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.492493725794 39.7590534561373,116.492530918015 39.7590537986884))","1305576",1306042,,"00720120504900728001","04120504901825",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.199,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.19947276908403
"MULTILINESTRING ((116.492530918015 39.7590537986884,116.492533840715 39.7591283242154))","1321541",1322011,,"00720120504900729001","04120504901826",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.278,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.27842189104395
