WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.495177845626 39.7597917761845))","424854",424854,N54R332A096,,,"23322",511849.343,288069.835,四分运行维护一所,"02420120504952088001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495168915483 39.7604959875681))","424855",424855,N54R332A095,,,"23322",511848.446,288148.011,四分运行维护一所,"02420120504952087001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495136690827 39.7597919473923))","424856",424856,N54R332A094,,,"23322",511845.803,288069.835,四分运行维护一所,"02420120504952086001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495127760263 39.7604961587712))","424857",424857,N54R332A093,,,"23322",511844.906,288148.011,四分运行维护一所,"02420120504952085001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49497197481 39.7604968065549))","424860",424860,N54R332A089,,,"23322",511831.506,288148.011,四分运行维护一所,"02420120504952082001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494469131958 39.7597947202442))","424861",424861,N54R332A088,,,"23322",511788.382,288069.835,四分运行维护一所,"02420120504952081001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494427976852 39.7597948909255))","424862",424862,N54R332A087,,,"23322",511784.842,288069.835,四分运行维护一所,"02420120504952080001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495448257809 39.7597906504984))","425256",425256,N54R332A106,,,"23322",511872.603,288069.835,四分运行维护一所,"02420120504952097001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495427252671 39.7604191857621))","425257",425257,N54R332A105,,,"23322",511870.681,288139.604,四分运行维护一所,"02420120504952096001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495333629174 39.7597911278382))","425260",425260,N54R332A101,,,"23322",511862.743,288069.835,四分运行维护一所,"02420120504952093001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495292474439 39.7597912991594))","425261",425261,N54R332A100,,,"23322",511859.203,288069.835,四分运行维护一所,"02420120504952092001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49528354547 39.760495510556))","425262",425262,N54R332A099,,,"23322",511858.306,288148.011,四分运行维护一所,"02420120504952091001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493661888197 39.7592479890063))","426161",426161,N54R332A056,,,"23322",511719.046,288008.767,四分运行维护一所,"02420120504952059001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492596312789 39.7596922114827))","423945",423945,N54R332A024,,,"23322",511627.311,288057.596,四分运行维护一所,"02420120504952023001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492594035901 39.7606496963858))","423946",423946,N54R332A023,,,"23322",511626.943,288163.893,四分运行维护一所,"02420120504952022001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492601169812 39.7613537867663))","423521",423521,N54R332A001,,,"23322",511627.43,288242.063,四分运行维护一所,"02420120504952037001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492637468724 39.7596920422409))","423943",423943,N54R332A026,,,"23322",511630.851,288057.596,四分运行维护一所,"02420120504952025001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492635192404 39.7606495271433))","423944",423944,N54R332A025,,,"23322",511630.483,288163.893,四分运行维护一所,"02420120504952024001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492642326729 39.7613536175162))","423520",423520,N54R332A002,,,"23322",511630.97,288242.063,四分运行维护一所,"02420120504952038001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492757818755 39.760412853799))","423941",423941,N54R332A028,,,"23322",511641.073,288137.674,四分运行维护一所,"02420120504952027001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492755798795 39.7613531507094))","423519",423519,N54R332A003,,,"23322",511640.73,288242.063,四分运行维护一所,"02420120504952039001",低压 P<=0.01MPa,低压 P<=0.01MPa
