WKT,fid,OBJECTID,OBJECT_ID,Z,PIPENO,ORIGIONALC,PRESSURED,PRESSURER,ECODE,NAME,ADDRESS,TYPE,FORM,MODEL,SCALEDESIG,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,GENERALMAP,SYSTEMMAP,SKETCHMAP,SCALEOPERA,SYMBALTYPE,SYMBOLANGL,SYMBOLSCAL,ORIGIONALD,INNERCODE,OWNER,DATASOURCE,LEVELFROM,ENABLED,USERNUM,MANAGEREGION,REGION,UPDATETIME,YEAR,MAPNAME,SURVEYCODEOLD,PRESSORDERD,MANAGEREGIONCODE
"MULTIPOINT ((116.493034529472 39.7579942293071))","11240","11240",,0,"01220120504900004001","22120504900003",中压A 0.2<P<=0.4MPa,中压A 0.2<P<=0.4MPa,N54R335,亦庄X77地块中压A4箱,N54R335,中低压调压箱,,,,,,10-1156-L,"201205049",,,,,,270.62,,"20170216095552",,,,,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,,"23402",,,
"MULTIPOINT ((116.493005124377 39.7579980435625))","11489","11489",,28.85,"01220120504900003001","22120504900002",中压A 0.2<P<=0.4MPa,中压A 0.2<P<=0.4MPa,N54R334,亦庄77地块中压A3箱,N54R334,中低压调压箱,,,,,,10-1156-L,"201205049",,,,,,359.97,,"20170216095552",,,,,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,,"23402",,,
