WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.4943380372 39.7582550794637))","414643",414643,N54R335A042,,,"23402",511777.386,287898.847,四分运行维护一所,"02420120504952197001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494296882948 39.7582552500418))","414644",414644,N54R335A041,,,"23402",511773.846,287898.847,四分运行维护一所,"02420120504952196001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494182255472 39.7582557249899))","414645",414645,N54R335A039,,,"23402",511763.986,287898.847,四分运行维护一所,"02420120504952195001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494026473473 39.7582563700657))","414650",414650,N54R335A035,,,"23402",511750.586,287898.847,四分运行维护一所,"02420120504952190001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496339850455 39.7573763804223))","415547",415547,N54R335A085,,,"23402",511949.74,287802.221,四分运行维护一所,"02420120504952245001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495858855305 39.7579689794828))","415552",415552,N54R335A080,,,"23402",511908.256,287867.787,四分运行维护一所,"02420120504952240001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496199685377 39.7580711794519))","415548",415548,N54R335A084,,,"23402",511937.555,287879.291,四分运行维护一所,"02420120504952244001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49648359337 39.7581009065147))","415545",415545,N54R335A086,,,"23402",511961.971,287882.723,四分运行维护一所,"02420120504952247001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495900008735 39.757968807761))","415551",415551,N54R335A081,,,"23402",511911.796,287867.787,四分运行维护一所,"02420120504952241001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495617386551 39.7579644918604))","413763",413763,N54R335A074,,,"23402",511887.486,287867.177,四分运行维护一所,"02420120504952228001",低压 P<=0.01MPa,低压 P<=0.01MPa
