WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.492615948299 39.7560609004954,116.492666040725 39.7560600999811))","1303545",1304010,,"00720120504900743001","04120504901990",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,4.31,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,4.30950542441181
"MULTILINESTRING ((116.492660003943 39.7558862334693,116.492666040725 39.7560600999811))","1313291",1313759,,"00720120504900746001","04120504901998",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,19.311,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,19.3111669504562
"MULTILINESTRING ((116.492660003943 39.7558862334693,116.492685718652 39.755885884492))","1313301",1313769,,"00720120504900747001","04120504901997",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.212,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.21216477623235
"MULTILINESTRING ((116.492666040725 39.7560600999811,116.49275683241 39.7560586365401))","1313302",1313770,,"00720120504900748001","04120504901991",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,7.811,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,7.81093726728365
"MULTILINESTRING ((116.492685713942 39.755883632616,116.492685718652 39.755885884492))","1303829",1304294,,"00720120504900751001","04120504901996",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.492728030103 39.755883458528,116.492728033871 39.7558852600287))","1303832",1304297,,"00720120504900754001","04120504901999",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.2,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.200000001117587
"MULTILINESTRING ((116.492728033871 39.7558852600287,116.492754789411 39.755887870228))","1303833",1304298,,"00720120504900755001","04120504902000",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.321,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.32073372005927
"MULTILINESTRING ((116.49275683241 39.7560586365401,116.492816282891 39.7560576802691))","1313307",1313775,,"00720120504900761001","04120504901992",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,5.115,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,5.1146101514084
"MULTILINESTRING ((116.492754789411 39.755887870228,116.49275683241 39.7560586365401))","1313305",1313773,,"00720120504900759001","04120504902001",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,18.96,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,18.9595544786146
"MULTILINESTRING ((116.492816282891 39.7560576802691,116.492815994131 39.7558864113218))","1313589",1314057,,"00720120504900764001","04120504902004",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,19.014,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,19.0140009452404
