WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.495615808596 39.7618674336405,116.495623040814 39.76194408466))","2197462",2198348,,"00720120504800789001","04120504800547",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.535,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.53468411861715
"MULTILINESTRING ((116.495623040814 39.76194408466,116.495669542958 39.7619431071505))","2197459",2198345,,"00720120504800793001","04120504800557",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4.001,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,4.00094601311846
"MULTILINESTRING ((116.495668891704 39.761866770987,116.495669542958 39.7619431071505))","2192381",2193267,,"00720120504800799001","04120504800550",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.475,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.47510406978216
"MULTILINESTRING ((116.495668891704 39.761866770987,116.495693269256 39.7618657145505))","2192380",2193266,,"00720120504800800001","04120504800549",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.1,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.09967735626471
"MULTILINESTRING ((116.495669542958 39.7619431071505,116.495774137839 39.7619409145185))","2192379",2193265,,"00720120504800801001","04120504800558",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,8.999,,0,29.62,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.99911295673224
"MULTILINESTRING ((116.495693264448 39.7618634626861,116.495693269256 39.7618657145505))","2192370",2193256,,"00720120504800805001","04120504800548",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.495734420251 39.7618632910714,116.495734425061 39.7618655429358))","2190235",2191121,,"00720120504800812001","04120504800551",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.25
"MULTILINESTRING ((116.495734425061 39.7618655429358,116.495770444595 39.7618665186569))","2190234",2191120,,"00720120504800813001","04120504800552",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.101,,0,0,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,3.10052076201089
"MULTILINESTRING ((116.495770444595 39.7618665186569,116.495774137839 39.7619409145185))","2190230",2191116,,"00720120504800816001","04120504800553",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.267,,0,29.62,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,8.2665916192407
"MULTILINESTRING ((116.495774137839 39.7619409145185,116.496148097576 39.7619341201813))","2190229",2191115,,"00720120504800817001","04120504800559",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,32.172,,29.62,29.67,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,32.1722465803022
"MULTILINESTRING ((116.496154739834 39.7624895781145,116.496156939345 39.7626751511165))","2147104",2147975,,"00720120504800833001","04120504801017",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,20.604,,29.54,29.51,,,,10-1156-L,"201205048",,"20160317144554",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,20.6035830380299
