WKT,fid,OBJECTID,OBJECT_ID,Z,PIPENO,ORIGIONALC,PRESSURED,PRESSURER,ECODE,NAME,ADDRESS,TYPE,FORM,MODEL,SCALEDESIG,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,GENERALMAP,SYSTEMMAP,SKETCHMAP,SCALEOPERA,SYMBALTYPE,SYMBOLANGL,SYMBOLSCAL,ORIGIONALD,INNERCODE,OWNER,DATASOURCE,LEVELFROM,ENABLED,USERNUM,MANAGEREGION,REGION,UPDATETIME,YEAR,MAPNAME,SURVEYCODEOLD,PRESSORDERD,MANAGEREGIONCODE
"MULTIPOINT ((116.497230746852 39.7617698571656))","26392","26392",,0,"01220120504800004001","22120504800002",中压A 0.2<P<=0.4MPa,中压A 0.2<P<=0.4MPa,N54R329,亦庄X75地块中压A2箱,N54R329,中低压调压箱,,,,,,10-1156-L,"201205048",,,,,,358.14,,"20160223095012",,,,,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,,"23323",,,
"MULTIPOINT ((116.497219435216 39.7617700127097))","26393","26393",,0,"01220120504800003001","22120504800003",中压A 0.2<P<=0.4MPa,中压A 0.2<P<=0.4MPa,N54R328,亦庄X75地块中压A1箱,N54R328,中低压调压箱,,,,,,10-1156-L,"201205048",,,,,,178.69,,"20160223095012",,,,,,,四分运行维护一所,大兴区,1899/12/30 00:00:00,,"23323",,,
