WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.494808174755 39.7637767616359))","420839",420839,N54R328A032,,,"23322",511816.818,288512.07,四分运行维护一所,"02420120504852118001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494849332055 39.7637765906597))","423938",423938,N54R328A034,,,"23322",511820.358,288512.07,四分运行维护一所,"02420120504852120001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494383125747 39.7637785255786))","423947",423947,N54R328A020,,,"23322",511780.259,288512.07,四分运行维护一所,"02420120504852107001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494338810405 39.7631653958465))","423948",423948,N54R328A019,,,"23322",511776.559,288443.981,四分运行维护一所,"02420120504852106001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494297653242 39.763165566438))","423949",423949,N54R328A018,,,"23322",511773.019,288443.981,四分运行维护一所,"02420120504852105001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494291007976 39.7625522802312))","423950",423950,N54R328A017,,,"23322",511772.559,288375.892,四分运行维护一所,"02420120504852104001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494275542577 39.7637056502729))","423951",423951,N54R328A016,,,"23322",511771.019,288503.93,四分运行维护一所,"02420120504852103001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494249851155 39.7625524507848))","423952",423952,N54R328A015,,,"23322",511769.019,288375.892,四分运行维护一所,"02420120504852102001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494183017656 39.7631660414233))","423953",423953,N54R328A014,,,"23322",511763.159,288443.981,四分运行维护一所,"02420120504852101001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494136379145 39.7625529208491))","423954",423954,N54R328A013,,,"23322",511759.259,288375.892,四分运行维护一所,"02420120504852100001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494095222253 39.7625530912846))","425271",425271,N54R328A011,,,"23322",511755.719,288375.892,四分运行维护一所,"02420120504852099001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494075454434 39.7631021731283))","425273",425273,N54R328A009,,,"23322",511753.919,288436.841,四分运行维护一所,"02420120504852097001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493980587419 39.7625535658339))","425274",425274,N54R328A008,,,"23322",511745.859,288375.892,四分运行维护一所,"02420120504852096001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49387302832 39.7624912283629))","425276",425276,N54R328A005,,,"23322",511736.619,288368.922,四分运行维护一所,"02420120504852094001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493562684209 39.762661996942))","425279",425279,N54R328A002,,,"23322",511709.895,288387.738,四分运行维护一所,"02420120504852091001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493434847471 39.7625439767025))","425280",425280,N54R328A001,,,"23322",511698.921,288374.577,四分运行维护一所,"02420120504852090001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496558538817 39.7636322793347))","423027",423027,N54R328A079,,,"23322",511967.396,288496.84,四分运行维护一所,"02420120504852163001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496599695348 39.7636321071123))","422602",422602,N54R328A083,,,"23322",511970.936,288496.84,四分运行维护一所,"02420120504852167001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49644390501 39.7636327588795))","425728",425728,N54R328A075,,,"23322",511957.536,288496.84,四分运行维护一所,"02420120504852159001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496402760048 39.7636329309466))","426155",426155,N54R328A071,,,"23322",511953.997,288496.84,四分运行维护一所,"02420120504852155001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496288126085 39.7636334101931))","426156",426156,N54R328A070,,,"23322",511944.137,288496.84,四分运行维护一所,"02420120504852154001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496246969441 39.7636335822013))","426157",426157,N54R328A069,,,"23322",511940.597,288496.84,四分运行维护一所,"02420120504852153001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496717235533 39.7636316151023))","422159",422159,N54R328A087,,,"23322",511981.046,288496.84,四分运行维护一所,"02420120504852170001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496758392009 39.763631442772))","421735",421735,N54R328A091,,,"23322",511984.586,288496.84,四分运行维护一所,"02420120504852174001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496133497936 39.7636340562906))","426158",426158,N54R328A068,,,"23322",511930.837,288496.84,四分运行维护一所,"02420120504852152001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496092341234 39.7636342281913))","426159",426159,N54R328A067,,,"23322",511927.297,288496.84,四分运行维护一所,"02420120504852151001",低压 P<=0.01MPa,低压 P<=0.01MPa
